topic,title,pdf_url
电子信息,信息技术行业动态点评：互联网女皇报告出炉‚欧美云计算使用普及率大幅提升,http://pdf.dfcfw.com/pdf/H3_AP201906131334943746_1.pdf
旅游酒店,餐饮旅游行业半年度投资策略报告：坚守价值迎接旺季‚关注低估值行业龙头,http://pdf.dfcfw.com/pdf/H3_AP201906131334946435_1.pdf
输配电气,太阳能行业研究：双面发电光伏组件豁免美国201关税‚光伏玻璃最直接受益,http://pdf.dfcfw.com/pdf/H3_AP201906141335031458_1.pdf
电子信息,计算机行业点评：华为ERP团队访问用友‚云计算定律三验证,http://pdf.dfcfw.com/pdf/H3_AP201906141335032550_1.pdf
文化传媒,传媒行业：计算机视觉赋能大文娱‚成就智能影像黄金赛道,http://pdf.dfcfw.com/pdf/H3_AP201906141335032552_1.pdf
水泥建材,非金属建材行业2019年下半年投资策略：不确定中配置确定,http://pdf.dfcfw.com/pdf/H3_AP201906141335034140_1.pdf
机械行业,机械行业快评：5月挖机销量负增长‚专项债新规利好基建投资‚有望对挖机市场形成支撑,http://pdf.dfcfw.com/pdf/H3_AP201906141335034139_1.pdf
输配电气,电源设备行业动态点评：1-5月锂电池装机23.38gwh‚同比增长84%,http://pdf.dfcfw.com/pdf/H3_AP201906141335039414_1.pdf
汽车行业,汽车汽配行业日报,http://pdf.dfcfw.com/pdf/H3_AP201906141335039684_1.pdf
化工行业,石油化工行业月度报告：全球需求疲软拖累油价‚炼油利润反弹空间有限,http://pdf.dfcfw.com/pdf/H3_AP201906141335042666_1.pdf
电子信息,计算机软硬件：Salesforce收购BI厂商Tableau点评：云+大数据：云计算企业生态构建之路,http://pdf.dfcfw.com/pdf/H3_AP201906141335044190_1.pdf
房地产,中国房地产：每周趋势：销量环比下降‚库存环比持平；土地出让回落,http://pdf.dfcfw.com/pdf/H3_AP201906141335044187_1.pdf
机械行业,机械：5月挖机销量负增‚基建投资有望成重要支撑,http://pdf.dfcfw.com/pdf/H3_AP201906141335062054_1.pdf
水泥建材,建材行业深度分析：整装卫浴风口正起‚行业领跑者蓄势待发,http://pdf.dfcfw.com/pdf/H3_AP201906141335062057_1.pdf
化工行业,化工行业研究简报：下游需求处于下滑通道‚机会在于革新,http://pdf.dfcfw.com/pdf/H3_AP201906141335062059_1.pdf
电力行业,电力设备行业动态分析：拥抱光伏平价大周期‚关注促消费政策后续实施,http://pdf.dfcfw.com/pdf/H3_AP201906141335062058_1.pdf
水泥建材,建材行业深度分析：整装卫浴风口正起‚行业领跑者蓄势待发,http://pdf.dfcfw.com/pdf/H3_AP201906141335062057_1.pdf
钢铁行业,公历第24周钢铁库存数据点评：淡季累库开始‚盈利仍未见底,http://pdf.dfcfw.com/pdf/H3_AP201906141335062254_1.pdf
环保工程,环保公用事业行业周报：住建部等发文全面开展生活垃圾分类工作,http://pdf.dfcfw.com/pdf/H3_AP201906141335062255_1.pdf
文化传媒,广电行业专题：康卡斯特离我们有多远？,http://pdf.dfcfw.com/pdf/H3_AP201906141335062258_1.pdf
医药制造,医药行业深度研究：PD-1：头部企业的盛宴,http://pdf.dfcfw.com/pdf/H3_AP201906141335062259_1.pdf
化工行业,化工行业周观点：萤石、EC价格持续上涨‚醋酸价格触底反弹,http://pdf.dfcfw.com/pdf/H3_AP201906141335066232_1.pdf
房地产,2019年房地产行业第22周周报：房价指标密切关注‚政策后续张弛有度,http://pdf.dfcfw.com/pdf/H3_AP201906141335070237_1.pdf
医药制造,医药生物行业第三方检测行业专题报告：行业步入良性竞争拐点‚龙头企业持续受益,http://pdf.dfcfw.com/pdf/H3_AP201906141335070566_1.pdf
钢铁行业,中泰钢铁每日速递,http://pdf.dfcfw.com/pdf/H3_AP201906141335070564_1.pdf
通讯行业,2019年通信行业年中策略报告：关注全球环境变化下我国5G建设带来的投资机会,http://pdf.dfcfw.com/pdf/H3_AP201906141335070567_1.pdf
医药制造,医药行业研究：厦门药品带量采购进度简评-4+7进度超预期‚厦门已完成采购协议的59%,http://pdf.dfcfw.com/pdf/H3_AP201906141335072575_1.pdf
输配电气,光伏行业周报：能源局正式发布光伏发电项目建设通知‚市场化导向明确,http://pdf.dfcfw.com/pdf/H3_AP201906141335072456_1.pdf
医药制造,医药生物科创板资质通鉴系列：TAVR：红日初升‚其光大道,http://pdf.dfcfw.com/pdf/H3_AP201906141335072457_1.pdf
材料行业,新材料行业周报：关注中重稀土、海绵钛价格上涨,http://pdf.dfcfw.com/pdf/H3_AP201906141335072458_1.pdf
电子信息,计算机行业半年度投资策略报告：自主可控势在必行‚科创板助添新动能,http://pdf.dfcfw.com/pdf/H3_AP201906141335072995_1.pdf
机械行业,机械设备行业专题：激光产业链系列报告之七-技术成熟优势渐显‚超快激光未来可期,http://pdf.dfcfw.com/pdf/H3_AP201906141335076362_1.pdf
电子信息,计算机行业点评：美国正加紧网络备战‚安全可控紧迫性再升级,http://pdf.dfcfw.com/pdf/H3_AP201906141335076361_1.pdf
券商信托,证券行业事件点评：科创板正式开板‚券商将迎来业绩增量,http://pdf.dfcfw.com/pdf/H3_AP201906141335076364_1.pdf
食品饮料,食品饮料行业半年度投资策略：高端白酒仍为首选 关注啤酒板块机会,http://pdf.dfcfw.com/pdf/H3_AP201906141335079247_1.pdf
医药制造,医药行业2019年半年度投资策略报告：改革春风迎面来‚几家欢喜几家愁,http://pdf.dfcfw.com/pdf/H3_AP201906141335079249_1.pdf
机械行业,机械设备行业点评报告：5月挖机销量同比1.1.00-2%‚专项债有望带动基建回升,http://pdf.dfcfw.com/pdf/H3_AP201906141335083915_1.pdf
文化传媒,2019年去边界化趋势下的新营销策略研究报告 ,http://pdf.dfcfw.com/pdf/H3_AP201906141335084538_1.pdf
